Annual Income ($),Spending Score (1-100),Cluster,Segment
0.0789581732237043,0.39,0,Budget Moderates
0.1842357375219767,0.81,7,High-Engagement Budget
0.4526935264825713,0.06,5,Budget-Conscious
0.3105688146799035,0.77,7,High-Engagement Budget
0.2000273721667175,0.4,0,Budget Moderates
0.3053049364649899,0.76,7,High-Engagement Budget
0.1631802246623222,0.06,5,Budget-Conscious
0.442165770052744,0.94,4,Active Spenders
0.5105961868466211,0.03,5,Budget-Conscious
0.5158600650615347,0.72,4,Active Spenders
0.0368471475043953,0.14,0,Budget Moderates
0.4895406739869666,0.99,4,Active Spenders
0.4211102571930896,0.15,5,Budget-Conscious
0.4790129175571394,0.77,4,Active Spenders
0.1000136860833587,0.13,5,Budget-Conscious
0.2684577889605946,0.79,7,High-Engagement Budget
0.1526524682324949,0.35,0,Budget Moderates
0.4684851611273121,0.66,1,Mid-Market Moderates
0.1052775642982724,0.29,0,Budget Moderates
0.3263604493246444,0.98,7,High-Engagement Budget
0.5053323086317075,0.35,1,Mid-Market Moderates
0.0210555128596544,0.73,7,High-Engagement Budget
0.221082885026372,0.05,5,Budget-Conscious
0.373735353258867,0.73,7,High-Engagement Budget
0.3526798403992125,0.14,5,Budget-Conscious
0.2737216671755082,0.8200000000000001,7,High-Engagement Budget
0.3579437186141261,0.32,0,Budget Moderates
0.4105825007632623,0.61,1,Mid-Market Moderates
0.0947498078684451,0.31,0,Budget Moderates
0.1052775642982724,0.87,7,High-Engagement Budget
0.2052912503816311,0.04,5,Budget-Conscious
0.178971859307063,0.73,7,High-Engagement Budget
0.3105688146799035,0.04,5,Budget-Conscious
0.3263604493246444,0.92,7,High-Engagement Budget
0.4790129175571394,0.14,5,Budget-Conscious
0.5000684304167938,0.81,4,Active Spenders
0.0736942950087906,0.17,0,Budget Moderates
0.3263604493246444,0.73,7,High-Engagement Budget
0.0473749039342225,0.26,0,Budget Moderates
0.3632075968290397,0.75,7,High-Engagement Budget
0.1315969553728405,0.35,0,Budget Moderates
0.4474296482676577,0.92,4,Active Spenders
0.1158053207280996,0.36,0,Budget Moderates
0.1737079810921494,0.61,0,Budget Moderates
0.3789992314737806,0.28,5,Budget-Conscious
0.0157916346447408,0.65,0,Budget Moderates
0.2737216671755082,0.55,0,Budget Moderates
0.373735353258867,0.47,0,Budget Moderates
0.4105825007632623,0.42,1,Mid-Market Moderates
0.1315969553728405,0.42,0,Budget Moderates
0.4632212829123985,0.52,1,Mid-Market Moderates
0.5105961868466211,0.6,1,Mid-Market Moderates
0.3895269879036078,0.54,1,Mid-Market Moderates
0.3579437186141261,0.6,1,Mid-Market Moderates
0.0947498078684451,0.45,0,Budget Moderates
0.5000684304167938,0.41,1,Mid-Market Moderates
0.373735353258867,0.5,1,Mid-Market Moderates
0.0421110257193089,0.46,0,Budget Moderates
0.3000410582500763,0.51,0,Budget Moderates
0.4684851611273121,0.46,1,Mid-Market Moderates
0.442165770052744,0.56,1,Mid-Market Moderates
0.263193910745681,0.55,0,Budget Moderates
0.263193910745681,0.52,0,Budget Moderates
0.2526661543158537,0.59,0,Budget Moderates
0.331624327539558,0.51,0,Budget Moderates
0.0473749039342225,0.59,0,Budget Moderates
0.0157916346447408,0.5,0,Budget Moderates
0.4316380136229168,0.48,1,Mid-Market Moderates
0.4263741354080032,0.59,1,Mid-Market Moderates
0.5105961868466211,0.47,1,Mid-Market Moderates
0.4790129175571394,0.55,1,Mid-Market Moderates
0.0473749039342225,0.42,0,Budget Moderates
0.2316106414561992,0.49,0,Budget Moderates
0.0526387821491362,0.56,0,Budget Moderates
0.4684851611273121,0.47,1,Mid-Market Moderates
0.2579300325307673,0.54,0,Budget Moderates
0.3526798403992125,0.53,0,Budget Moderates
0.5211239432764483,0.48,1,Mid-Market Moderates
0.5105961868466211,0.52,1,Mid-Market Moderates
0.5158600650615347,0.42,1,Mid-Market Moderates
0.2737216671755082,0.51,0,Budget Moderates
0.3210965711097308,0.55,0,Budget Moderates
0.6316653857896344,0.41,1,Mid-Market Moderates
0.178971859307063,0.44,0,Budget Moderates
0.1263330771579268,0.5700000000000001,0,Budget Moderates
0.1631802246623222,0.46,0,Budget Moderates
0.0579026603640498,0.58,0,Budget Moderates
0.2895133018202491,0.55,0,Budget Moderates
0.4000547443334351,0.6,1,Mid-Market Moderates
0.2947771800351627,0.46,0,Budget Moderates
0.2421383978860265,0.55,0,Budget Moderates
0.1894996157368903,0.41,0,Budget Moderates
0.4632212829123985,0.49,1,Mid-Market Moderates
0.1631802246623222,0.4,0,Budget Moderates
0.1263330771579268,0.42,0,Budget Moderates
0.4211102571930896,0.52,1,Mid-Market Moderates
0.0105277564298272,0.47,0,Budget Moderates
0.3526798403992125,0.5,0,Budget Moderates
0.3053049364649899,0.42,0,Budget Moderates
0.4211102571930896,0.49,1,Mid-Market Moderates
0.3421520839693853,0.41,0,Budget Moderates
0.0210555128596544,0.48,0,Budget Moderates
0.5158600650615347,0.59,1,Mid-Market Moderates
0.2737216671755082,0.55,0,Budget Moderates
0.4526935264825713,0.56,1,Mid-Market Moderates
0.4316380136229168,0.42,1,Mid-Market Moderates
0.2263467632412856,0.5,0,Budget Moderates
0.4105825007632623,0.46,1,Mid-Market Moderates
0.068430416793877,0.43,0,Budget Moderates
0.068430416793877,0.48,0,Budget Moderates
0.178971859307063,0.52,0,Budget Moderates
0.1315969553728405,0.54,0,Budget Moderates
0.373735353258867,0.42,0,Budget Moderates
0.0105277564298272,0.46,0,Budget Moderates
0.5105961868466211,0.48,1,Mid-Market Moderates
0.2684577889605946,0.5,0,Budget Moderates
0.0473749039342225,0.43,0,Budget Moderates
0.4158463789781759,0.59,1,Mid-Market Moderates
0.442165770052744,0.43,1,Mid-Market Moderates
0.4579574046974849,0.5700000000000001,1,Mid-Market Moderates
0.1894996157368903,0.56,0,Budget Moderates
0.263193910745681,0.4,0,Budget Moderates
0.5105961868466211,0.58,1,Mid-Market Moderates
0.0315832692894817,0.91,7,High-Engagement Budget
0.0631665385789634,0.29,0,Budget Moderates
0.2421383978860265,0.77,7,High-Engagement Budget
0.4684851611273121,0.35,1,Mid-Market Moderates
0.0210555128596544,0.95,7,High-Engagement Budget
0.2000273721667175,0.11,5,Budget-Conscious
0.3368882057544716,0.75,7,High-Engagement Budget
0.3474159621842989,0.09,5,Budget-Conscious
0.1368608335877541,0.75,7,High-Engagement Budget
0.2158190068114584,0.34,0,Budget Moderates
0.2368745196711129,0.71,7,High-Engagement Budget
0.4684851611273121,0.05,5,Budget-Conscious
0.484276795772053,0.88,4,Active Spenders
0.4000547443334351,0.07,5,Budget-Conscious
0.4474296482676577,0.73,7,High-Engagement Budget
0.1158053207280996,0.1,5,Budget-Conscious
0.0789581732237043,0.72,7,High-Engagement Budget
0.1684441028772358,0.05,5,Budget-Conscious
